epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,24148.1,1.04884,1.93771,0.81498,1.37717,0.84738,0.79654,0.8659,0.54885,0.83694,0.79139,0.85667,0.50366,1.26802,1.50799,0.7028,1.58419,0.0003185,0.0003185,0.0003185
112,24342.2,1.04497,1.90076,0.79563,1.36508,0.83525,0.81618,0.87355,0.55653,0.82424,0.80543,0.85962,0.51181,1.26746,1.51133,0.69723,1.59178,0.00031685,0.00031685,0.00031685
113,24541.4,1.03152,1.90608,0.79959,1.36283,0.8252,0.82086,0.8702,0.55341,0.81359,0.81291,0.85723,0.5107,1.26696,1.50892,0.69804,1.60268,0.0003152,0.0003152,0.0003152
114,24735.5,1.04032,1.89995,0.78911,1.36501,0.83867,0.82086,0.8746,0.55317,0.82626,0.80743,0.85982,0.50904,1.27157,1.54812,0.69224,1.60862,0.00031355,0.00031355,0.00031355
115,24955.2,1.04147,1.92769,0.80573,1.36692,0.85013,0.81189,0.87421,0.55307,0.83618,0.80262,0.85919,0.50831,1.27485,1.51175,0.68616,1.60286,0.0003119,0.0003119,0.0003119
116,25149.1,1.03966,1.88859,0.79582,1.36633,0.84982,0.80683,0.87438,0.55356,0.83477,0.80262,0.8611,0.51293,1.27632,1.51311,0.69832,1.6013,0.00031025,0.00031025,0.00031025
117,25392.3,1.04549,1.91103,0.78636,1.37105,0.84556,0.81178,0.87273,0.55338,0.83546,0.80309,0.85711,0.5124,1.28586,1.52618,0.70092,1.60292,0.0003086,0.0003086,0.0003086
118,25595.4,1.04291,1.89339,0.79794,1.36378,0.85315,0.80974,0.87325,0.55479,0.84473,0.80411,0.86184,0.51334,1.2836,1.51777,0.7026,1.60167,0.00030695,0.00030695,0.00030695
119,25789.6,1.02724,1.88457,0.78274,1.3532,0.86369,0.80612,0.87867,0.56146,0.85467,0.7977,0.87093,0.51939,1.2688,1.53244,0.68517,1.58566,0.0003053,0.0003053,0.0003053
120,26036.9,1.02867,1.88632,0.77873,1.35293,0.86002,0.79981,0.87705,0.56085,0.85079,0.79209,0.86738,0.51623,1.26064,1.56447,0.67588,1.58417,0.00030365,0.00030365,0.00030365
